🚀,Proposal Name,Proposal URL,Champion(s)
,Defensible Classes,http://wiki.ecmascript.org/doku.php?id=strawman:defensible_classes,Mark Miller & Doug Crockford
,Relationships,http://wiki.ecmascript.org/doku.php?id=strawman:relationships,Mark Miller & Waldemar Horwat
🚀,String.prototype.at,https://github.com/mathiasbynens/String.prototype.at,Mathias Bynens & Rick Waldron
,Structured Clone,https://github.com/dslomov-chromium/ecmascript-structured-clone,Dmitry Lomov
,Weak References,http://wiki.ecmascript.org/doku.php?id=strawman:weakreferences,Mark Miller & Dave Herman
🚀,Object.getOwnPropertyDescriptors,https://gist.github.com/WebReflection/9353781,Rick Waldron & Andrea Giammarchi
🚀,Set/Map.prototype.toJSON,https://github.com/DavidBruant/Map-Set.prototype.toJSON,David Bruant
,Annex B - HTML Attribute Event Handlers,,Allen Wirfs-Brock
,Reflect.isCallable/Reflect.isConstructor,https://github.com/caitp/TC39-Proposals/blob/master/tc39-reflect-isconstructor-iscallable.md,Caitlin Potter
,Additional metaproperties,https://github.com/allenwb/ESideas/blob/master/ES7MetaProps.md,Allen Wirfs-Brock
,Function Bind Syntax,https://github.com/zenparsing/es-function-bind,Kevin Smith
,Do Expressions,http://wiki.ecmascript.org/doku.php?id=strawman:do_expressions,Andreas Rossberg
,RegExp,https://github.com/goyakin/es-regexp,Gorkem Yakin & Brian Terlson & Nozomu Katō
🚀,Encapsulated private state for objects,https://github.com/wycats/javascript-private-state,Yehuda Katz & Allen Wirfs-Brock
,Error.isError,https://github.com/ljharb/proposal-is-error,Jordan Harband
,64-Bit Integer Operations,https://gist.github.com/BrendanEich/4294d5c212a6d2254703,Brendan Eich
